index,0
fatigue,143
vomiting,141
 fatigue,134
 vomiting,117
nausea,99
high fever,89
 high fever,89
headache,84
itching,82
 loss of appetite,81
loss of appetite,81
 nausea,77
 headache,74
abdominal pain,70
 abdominal pain,70
 yellowish skin,61
yellowish skin,61
cough,58
 yellowing of eyes,58
yellowing of eyes,58
malaise,56
 chills,53
chills,53
 malaise,53
 joint pain,46
joint pain,46
sweating,43
 sweating,43
skin rash,42
 chest pain,42
chest pain,42
 skin rash,42
dark urine,41
 dark urine,41
pain,41
shortness of breath,40
lethargy,39
 cough,36
 diarrhoea,35
 muscle pain,35
irritability,35
 irritability,35
diarrhoea,35
muscle pain,35
excessive hunger,34
fever,34
 excessive hunger,34
 lethargy,32
weight loss,32
 weight loss,32
pain abdominal,27
mild fever,27
 mild fever,27
 swelled lymph nodes,26
 phlegm,26
 breathlessness,26
phlegm,26
breathlessness,26
swelled lymph nodes,26
 blurred and distorted vision,25
blurred and distorted vision,25
dizziness,25
diarrhea,24
unresponsiveness,22
constipation,22
asthenia,22
dyspnea,22
chill,21
decreased body weight,20
apyrexial,19
 red spots over body,19
agitation,19
red spots over body,19
rale,18
 fast heart rate,17
depression,17
fast heart rate,17
 dizziness,17
 depression,17
lesion,17
abnormal menstruation,17
mass of body structure,17
 abnormal menstruation,17
pain chest,17
loss of balance,16
 loss of balance,16
restlessness,16
hypotension,16
sore to touch,16
 restlessness,16
 back pain,15
 acidity,15
back pain,15
 mood swings,15
 indigestion,15
acidity,15
indigestion,15
 obesity,15
mood swings,15
obesity,15
 stiff neck,14
muscle weakness,14
 muscle weakness,14
syncope,14
orthopnea,14
thicken,14
stiff neck,14
hallucinations auditory,13
suicidal,13
tremor,13
swelling,13
 constipation,13
night sweat,13
haemorrhage,13
polyuria,13
family history,12
 continuous sneezing,12
 family history,12
continuous sneezing,12
patient non compliance,12
feeling suicidal,12
hypokinesia,12
weight gain,11
 stomach pain,11
neck pain,11
irritable mood,11
tachypnea,11
 neck pain,11
stomach pain,11
wheezing,11
swelling joints,11
 swelling joints,11
sleepy,11
 painful walking,11
painful walking,11
worry,11
hyponatremia,10
difficulty,10
distress respiratory,10
pruritus,10
feeling hopeless,10
sleeplessness,10
blackout,10
hemiplegia,10
seizure,10
 pain behind the eyes,10
pain behind the eyes,10
ascites,10
rusty sputum,9
 palpitations,9
 redness of eyes,9
burning micturition,9
receiving blood transfusion,9
hyperkalemia,9
throat irritation,9
coma,9
receiving unsterile injections,9
 sinus pressure,9
 receiving unsterile injections,9
slurred speech,9
redness of eyes,9
fall,9
hemodynamically stable,9
dyspnea on exertion,9
 receiving blood transfusion,9
 coma,9
palpitation,9
 slurred speech,9
 rusty sputum,9
 visual disturbances,9
blood in sputum,9
 loss of smell,9
 increased appetite,9
 blood in sputum,9
congestion,9
increased appetite,9
sinus pressure,9
visual disturbances,9
 congestion,9
runny nose,9
 burning micturition,9
stomach bleeding,9
 runny nose,9
 stomach bleeding,9
palpitations,9
 polyuria,9
 throat irritation,9
loss of smell,9
acute liver failure,8
guaiac positive,8
facial paresis,8
belly pain,8
consciousness clear,8
irregular sugar level,8
anorexia,8
sweating increased,8
prostatism,8
mental status changes,8
 irregular sugar level,8
anxiety,8
bradycardia,8
tumor cell invasion,8
 swollen extremeties,8
swollen extremeties,8
drying and tingling lips,8
hallucinations visual,8
 anxiety,8
 acute liver failure,8
brittle nails,8
 yellow urine,8
 toxic look (typhos),8
 belly pain,8
 drying and tingling lips,8
toxic look (typhos),8
 enlarged thyroid,8
 brittle nails,8
pleuritic pain,8
enlarged thyroid,8
homelessness,8
yellow urine,8
fluid overload.1,7
erythema,7
 distention of abdomen,7
transaminitis,7
prominent veins on calf,7
puffy face and eyes,7
 swollen legs,7
 bruising,7
 cold hands and feets,7
bruising,7
 swelling of stomach,7
swelling of stomach,7
 weight gain,7
 cramps,7
abscess bacterial,7
non-productive cough,7
myalgia,7
chest discomfort,7
cold hands and feets,7
weepiness,7
cramps,7
 swollen blood vessels,7
distention of abdomen,7
history of alcohol consumption,7
swollen blood vessels,7
redness,7
 history of alcohol consumption,7
abdominal tenderness,7
 fluid overload,7
productive cough,7
rhonchus,7
angina pectoris,7
 prominent veins on calf,7
 puffy face and eyes,7
swollen legs,7
mood depressed,6
internal itching,6
 unsteadiness,6
 mucoid sputum,6
 internal itching,6
small dents in nails,6
 inflammatory nails,6
unconscious state,6
mucoid sputum,6
sinus rhythm,6
unsteadiness,6
spinning movements,6
inflammatory nails,6
passage of gases,6
silver like dusting,6
 passage of gases,6
chest tightness,6
muscle twitch,6
hip joint pain,6
 small dents in nails,6
ulcers on tongue,6
nightmare,6
 spinning movements,6
hematuria,6
intoxication,6
 hip joint pain,6
